drug_id,target_id,drug_mechanism_of_action_on_target
D05BWH,T59679,Modulator
D0M9RI,T59679,Agonist
D0Q5XX,T60529,Inhibitor
D02GTY,T61657,Modulator
D0E2AF,T61746,Inhibitor
D0KG9M,T61746,Inhibitor
DCZ16N,T61746,Inhibitor
DM69TL,T61746,Inhibitor
DSM03D,T61746,Inhibitor
D02IQY,T62151,Modulator
D0AZ5V,T62276,Inhibitor
D09WZU,T62820,Modulator
D0N5CW,T62820,Agonist
D0T3DG,T62820,Antagonist
DSK7I5,T62820,Agonist
D05EKM,T62974,Modulator
D02AIZ,T63414,
D07QTG,T63414,Antagonist
D01MAU,T63967,Modulator
D0AB4Q,T63967,Modulator
D02YXQ,T64765,Inhibitor
D07YGH,T64765,Antagonist
D0B2NV,T64765,Agonis; Inverse agonist
D0I6ZO,T64765,Antagonist
D0N8QK,T64765,Modulator
D0O0EX,T64765,Antagonist
D0XW6Y,T64765,Antagonist
D05EKM,T64830,Modulator
D0OE5S,T65200,Inhibitor
DJMK69,T65200,Inhibitor
D02NNV,T65864,Inhibitor
D0X2HJ,T66161,Inhibitor
D6ETD2,T66161,Inhibitor
D0C2HF,T66665,Modulator
D0Q5XX,T66665,Inhibitor
D05XEA,T67162,Antagonist
D0SP3D,T67162,Agonist
D0X8MZ,T67684,Modulator
D01JEU,T69494,Modulator
D06XWB,T69494,Antagonist
D0AY8D,T69494,Antagonist
D0AZ5V,T69494,Modulator
D0L1UH,T69494,Modulator
D0S0VZ,T69494,Modulator
D3PD8C,T69494,Antagonist
DI54FM,T69494,Modulator
D0E6KN,T69912,Modulator
D09ADT,T70967,Agonist
D07YNH,T70977,Inhibitor
D0MC0O,T70977,Modulator
D0K8NR,T72458,Agonist
D00ECO,T73724,Agonist
D01AYX,T73992,Modulator
D04OSA,T73992,Inhibitor
D04VZS,T73992,Inhibitor
D08MHD,T73992,Inhibitor
D08TVI,T73992,Modulator
D0E3SX,T73992,Inhibitor
D0F8GK,T73992,Modulator
D0K3WN,T73992,Inhibitor
D0N1BF,T73992,Inhibitor
D0O8UB,T73992,Modulator
D0R4KK,T73992,Modulator
D0T2FP,T73992,Inhibitor
D0XD5N,T73992,Inhibitor
D0Y0EP,T73992,Inhibitor
D00DRL,T74312,Inhibitor
D09TAB,T74312,Inhibitor
D0Q7SO,T74456,Modulator
D0U1US,T75440,Modulator
D08QWQ,T75797,Agonist
DW4O2J,T75907,inhibitor
DW7J9D,T76233,
D0AZ5V,T76414,Inhibitor
D07ESH,T77365,Antagonist
D05XEA,T77913,Partial agonist
D00ECO,T78111,Agonist
D09ADT,T78111,Agonist
D09GRB,T78111,Agonist
D0V3CK,T78429,Inhibitor
D00CVJ,T78709,Agonist
D02OJC,T78709,Antagonist
D05XEA,T78709,Antagonist
D06FKC,T78709,Agonist
D0EH0C,T78709,Antagonist
D08MHD,T79031,Inhibitor
D0H4YD,T79031,Inhibitor
D0R4KK,T79031,Inhibitor
D05XEA,T79062,Partial agonist
D02NNV,T79798,Inhibitor
D05HKB,T79961,Agonist
D00DRL,T80782,Inhibitor
D01HXA,T80896,Agonist
D00DRL,T80975,Inhibitor
D09ADT,T82543,Agonist
D02PSS,T83011,Modulator
D05RJG,T83011,
D06PHS,T83011,Inhibitor
D07OLO,T83011,Modulator
D0C3UC,T83011,Inhibitor
D0DW5P,T83011,
D0E3JL,T83011,Inhibitor
D0P1WB,T83011,Inhibitor
DL50ZE,T83011,Inhibitor
D06FKC,T83813,Antagonist
DDI6B0,T83813,Agonist
D02CGY,T83875,Modulator
D05RJG,T83875,
D0C3UC,T83875,Inhibitor
D00DRL,T84703,Inhibitor
D00SWQ,T85435,Modulator
D06MOY,T85435,Agonist
D0A0MJ,T85670,Modulator
D0D0GH,T85670,Modulator
D0MP1M,T85670,Modulator
DI9X5U,T86052,
D07ESH,T86679,Antagonist
D00CZT,T87024,Modulator
D00RRU,T87024,Modulator
D01BJK,T87024,
D01GAZ,T87024,Modulator
D01QLM,T87024,Modulator
D01ZSP,T87024,Modulator
D02XKK,T87024,Modulator
D03SHD,T87024,Inhibitor
D04QXW,T87024,Inhibitor
D04TPS,T87024,Inhibitor
D04ZTA,T87024,Inhibitor
D05ORO,T87024,
D06BVT,T87024,
D06KWU,T87024,Inhibitor
D06LRQ,T87024,Modulator
D06MBR,T87024,Inhibitor
D06XVR,T87024,Modulator
D07DNV,T87024,Inhibitor
D07JKA,T87024,Inhibitor
D07VAI,T87024,Inhibitor
D07YAC,T87024,Inhibitor
D07ZDG,T87024,Modulator
D09DLP,T87024,Antagonist
D09MRY,T87024,
D0A1MX,T87024,
D0B4AH,T87024,
D0B5EB,T87024,
D0C4WY,T87024,Inhibitor
D0CH6B,T87024,Inhibitor
D0E5CX,T87024,Inhibitor
D0E8HA,T87024,Inhibitor
D0F5UO,T87024,Inhibitor
D0G4AE,T87024,
D0G7LP,T87024,Inhibitor
D0HK7G,T87024,Inhibitor
D0HRC9,T87024,Inhibitor
D0I3VT,T87024,
D0J5SD,T87024,Modulator
D0K3SV,T87024,Inhibitor
D0K4WW,T87024,
D0N9JB,T87024,
D0NR6T,T87024,Modulator
D0Q2XN,T87024,Inhibitor
D0Q5VC,T87024,Modulator
D0Q6ZQ,T87024,Inhibitor
D0Q7YZ,T87024,
D0R6UR,T87024,
D0R7EQ,T87024,Modulator
D0T6KV,T87024,Modulator
D0TU1E,T87024,
D0V0VI,T87024,Binder
D0W0NU,T87024,Inhibitor
D0X2UK,T87024,
D0X4ZL,T87024,Inhibitor
D0Y4TQ,T87024,Inhibitor
D0Y9ES,T87024,
D0Z2GF,T87024,
D0ZX2D,T87024,Modulator
D1KR3N,T87024,Inhibitor
D2ZP0A,T87024,
D3XP8N,T87024,
D4YD7V,T87024,
D67DST,T87024,Inhibitor
DCP0I8,T87024,Inhibitor
DFM7X6,T87024,Inhibitor
DY6DS3,T87024,
D0Y8IS,T87946,Modulator
DD8L0V,T88318,Agonist
D00SWQ,T88537,Modulator
D0M9ER,T88752,Inhibitor
D0S4YT,T89034,Modulator
D9I6QG,T89534,Inhibitor
D0W9OW,T89988,Modulator
D0D4HO,T90782,Agonist
DDBY18,T90848,
D00DRL,T91331,Inhibitor
D02GTY,T94085,Modulator
D6KWF3,T94479,Stimulator
D09XQU,T96144,Modulator
D00CVJ,T97613,Agonist
D09TXO,T97917,Agonist
DGH83L,T99340,Inhibitor
DHD2S9,T99340,Inhibitor
D09PYZ,T99347,Modulator
D34YLZ,T99347,Modulator
DB7V3D,T99347,Modulator
D06FGJ,T99799,Modulator
D07CIN,T99799,Inhibitor
D09MEV,T99799,Modulator
D0S1KR,T99799,Inhibitor
D00GPQ,T99840,Modulator
D02HNG,T99840,Modulator
D02JOH,T99840,Modulator
D03MFQ,T99840,Modulator
D08XKL,T99840,Modulator
D09ZVC,T99840,Modulator
D0EV5O,T99840,Modulator
D0F0JJ,T99840,Modulator
D0I1OS,T99840,Modulator
D0K8NR,T99840,Inhibitor
D0TQ4Y,T99840,Modulator
D0U6FT,T99840,Modulator
DZ76PB,T99840,Modulator
D0CX2J,T99935,Modulator
D0A2ZX,T49814,Modulator
D0J6WV,T74891,Inhibitor
D01ZHB,T23389,
D02UYB,T23389,
D0Y9HW,T23389,
DJ0E7P,T23389,Inhibitor
D07LBQ,T37742,
D0AY1I,T37742,
D01MML,T69707,Modulator
D08QDF,T87024,Inhibitor
D02SNJ,T02246,Modulator
D0F7GX,T06011,Inhibitor
D00ANG,T07958,Modulator
D04UTH,T07958,Modulator
D0E1LB,T07958,Agonist
D0KV1I,T07958,Modulator
D0Q9WN,T07958,Agonist
D50OLM,T12091,Inhibitor
D02CAF,T22995,Inhibitor
D0V4YW,T22995,
DAOT46,T22995,Inhibitor
D01ADL,T30356,
D06UPS,T30356,
D07NJN,T32578,
D0E6VR,T48940,Modulator
D00HNK,T49493,Modulator
D0E9BF,T49493,Modulator
D0H4CB,T49493,Modulator
D01SPD,T53904,Inhibitor
D01ESC,T65197,Stimulator
D02LVZ,T65197,Agonist
D04YHG,T65197,Agonist
D06QIW,T65197,Modulator
D07PBZ,T65197,Agonist
D0C7KB,T65197,Modulator
D0DV3T,T65197,Modulator
D0G5JW,T65197,Stimulator
D0J0GJ,T65197,Stimulator
D0L6PZ,T65197,Stimulator
D0O6TD,T65197,Stimulator
D0R3JO,T65197,Stimulator
D0S7KQ,T65197,Agonist
D0ZV6W,T65197,Modulator
D05EEJ,T85574,Modulator
D07SQT,T86264,
D04JGA,T02777,Modulator
D0O2SR,T02777,Activator
D0S6SU,T02777,Modulator
D0IX7G,T04389,Modulator
D0S9QA,T06042,Modulator
D06OQI,T06046,Modulator
D0J7EH,T06046,Stimulator
D0D7XW,T07663,Modulator
D0L7VL,T13491,Inhibitor
D0D7XS,T14602,Inhibitor
D05CPV,T17569,Blocker
D0NR3V,T17569,Modulator
D0ZM8B,T19693,Modulator
D0AX4E,T20251,Modulator
D0OO6A,T21324,Modulator
D0ER5F,T28076,Modulator
D0G8UL,T28076,Modulator
DZ0DT2,T28076,Replacement
